tournament,stage,matchday,player,player_id,team,team_id,kills,kill_share,raw_kill_share,team_average_placement,raw_team_average_placement,games,team_games,team_total_kills,lobby_kills,individual_lobby_placement,team_lobby_placements,team_lobby_kills,matchday_placement,player_matchday_rank,lobby_1_kills,lobby_2_kills,lobby_3_kills,individual_lobby_1_placement,individual_lobby_2_placement,individual_lobby_3_placement,team_lobby_1_placement,team_lobby_2_placement,team_lobby_3_placement,team_lobby_1_kills,team_lobby_2_kills,team_lobby_3_kills,ign,player_class,total_placement_points,total_kill_points,team_bonus_points,team_total_points,average_kills_per_game,raw_average_kills_per_game,total_damage,average_damage_per_game,average_accuracy
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,ZEKE,9WSTxWXotyu8TnpA79Eg,WICKED ENTITIES,tm_n96zqds0m,5,16.1,16.129032258064516,15,15,3,3,31,"{""1"":2,""2"":1,""3"":2}","{""1"":13,""2"":19,""3"":13}","{""1"":13,""2"":19,""3"":13}","{""1"":14,""2"":13,""3"":4}",16,69,2,1,2,13,19,13,13,19,13,14,13,4,ƐИ丨ZYT,Class 1,0,62,-40,22,1.67,1.6666666666666667,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,TORUSKI,JS1VnLDlLbM6yIBFzo0u,SCARRED LEGION,aOLRuUnFkOKgu9xAtqHy,4,8.7,8.695652173913043,10,10,3,3,46,"{""1"":0,""2"":3,""3"":1}","{""1"":16,""2"":8,""3"":6}","{""1"":16,""2"":8,""3"":6}","{""1"":12,""2"":26,""3"":8}",13,70,0,3,1,16,8,6,16,8,6,12,26,8,DГ. ТОГЦメ,Class 1,0,92,-30,62,1.33,1.3333333333333333,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,CHEF PUNK,1LO5N9nzQfk09XHoISVW,PREACHER X,tm_c0yc4xjf4,4,8,8,13.33,13.333333333333334,2,3,50,"{""1"":2,""2"":2}","{""1"":9,""2"":11}","{""1"":9,""2"":11,""3"":20}","{""1"":28,""2"":21,""3"":1}",8,71,2,2,,9,11,,9,11,20,28,21,1,PЯX・PUNK,Class 1,0,100,0,100,2,2,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,BABYGLITCH,ZmLcnbEngSBzomLIxCGA,Kingpins,hVWczQAJ8Eqvzrp97sHO,4,23.5,23.52941176470588,5.67,5.666666666666667,3,3,17,"{""1"":2,""2"":1,""3"":1}","{""1"":3,""2"":9,""3"":5}","{""1"":3,""2"":9,""3"":5}","{""1"":6,""2"":4,""3"":7}",14,72,2,1,1,3,9,5,3,9,5,6,4,7,BABYGLITCH • K几,Class 1,20,34,0,54,1.33,1.3333333333333333,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,UMBRELLA,ZbDtqKyjWc2uCQ1Iu3Xg,FAZE ICONS,62lUXdIP47pjzO65aTZm,3,12,12,12.67,12.666666666666666,3,3,25,"{""1"":0,""2"":3,""3"":0}","{""1"":15,""2"":5,""3"":18}","{""1"":15,""2"":5,""3"":18}","{""1"":14,""2"":8,""3"":3}",15,73,0,3,0,15,5,18,15,5,18,14,8,3,ҒZ UMBRELLA,Class 1,5,50,-10,45,1,1,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,ROGUE,r7ePhyqUmojwCVE0MNwB,FEARLESS ULTIMATE,QXr3HX0HM3Rf35A0UKUN,3,33.3,33.33333333333333,15.67,15.666666666666666,3,3,9,"{""1"":0,""2"":0,""3"":3}","{""1"":18,""2"":14,""3"":15}","{""1"":18,""2"":14,""3"":15}","{""1"":0,""2"":6,""3"":3}",19,74,0,0,3,18,14,15,18,14,15,0,6,3,ƑW・ঐSHADOW,Class 1,0,18,-30,-12,1,1,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,MOON,rS33lQiCN46PKYQTcxHR,Kingpins,hVWczQAJ8Eqvzrp97sHO,3,17.6,17.647058823529413,5.67,5.666666666666667,3,3,17,"{""1"":1,""2"":2,""3"":0}","{""1"":3,""2"":9,""3"":5}","{""1"":3,""2"":9,""3"":5}","{""1"":6,""2"":4,""3"":7}",14,75,1,2,0,3,9,5,3,9,5,6,4,7,K几 • SCARYDAD,Class 1,20,34,0,54,1,1,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,DESTINY,wupZDXy29wGS3iEnUF14,Kingpins,hVWczQAJ8Eqvzrp97sHO,3,17.6,17.647058823529413,5.67,5.666666666666667,3,3,17,"{""1"":1,""2"":0,""3"":2}","{""1"":3,""2"":9,""3"":5}","{""1"":3,""2"":9,""3"":5}","{""1"":6,""2"":4,""3"":7}",14,76,1,0,2,3,9,5,3,9,5,6,4,7,K几 • GODFATHER,Class 1,20,34,0,54,1,1,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,MISTER,OT3OYiHhLhCCGE6fPU7c,Findigo Mirage,DfsCHneTL900q2o2ZCT6,2,10.5,10.526315789473683,11.67,11.666666666666666,3,3,19,"{""1"":0,""2"":1,""3"":1}","{""1"":6,""2"":12,""3"":17}","{""1"":6,""2"":12,""3"":17}","{""1"":9,""2"":8,""3"":2}",20,77,0,1,1,6,12,17,6,12,17,9,8,2,*MISTER・¹F¡,Class 1,0,38,-100,-62,0.67,0.6666666666666666,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,KANAKI/HYBRID,obenQLUFr5yTVY0TzxuL,Kingpins,hVWczQAJ8Eqvzrp97sHO,2,11.8,11.76470588235294,5.67,5.666666666666667,1,3,17,"{""1"":2}","{""1"":3}","{""1"":3,""2"":9,""3"":5}","{""1"":6,""2"":4,""3"":7}",14,78,2,,,3,,,3,9,5,6,4,7,K几・,Class 1,20,34,0,54,2,2,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,TOM,hxHrnWldh81VX3Ygl3kw,PREACHER X,tm_c0yc4xjf4,1,2,2,13.33,13.333333333333334,1,3,50,"{""3"":1}","{""3"":20}","{""1"":9,""2"":11,""3"":20}","{""1"":28,""2"":21,""3"":1}",8,79,,,1,,,20,9,11,20,28,21,1,PЯX・OG TOM,Class 1,0,100,0,100,1,1,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,SAYYID,UV54iNm4m2FaNnydcJiN,FEARLESS ULTIMATE,QXr3HX0HM3Rf35A0UKUN,1,11.1,11.11111111111111,15.67,15.666666666666666,3,3,9,"{""1"":0,""2"":1,""3"":0}","{""1"":18,""2"":14,""3"":15}","{""1"":18,""2"":14,""3"":15}","{""1"":0,""2"":6,""3"":3}",19,80,0,1,0,18,14,15,18,14,15,0,6,3,ƑW・SAYYID ঐ,Class 1,0,18,-30,-12,0.33,0.3333333333333333,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,YACHTY,QlxRht8AflEsDsg74NSw,FAZE ICONS,62lUXdIP47pjzO65aTZm,1,4,4,12.67,12.666666666666666,1,3,25,"{""3"":1}","{""3"":18}","{""1"":15,""2"":5,""3"":18}","{""1"":14,""2"":8,""3"":3}",15,81,,,1,,,18,15,5,18,14,8,3,ҒZ YACHTY,Class 1,5,50,-10,45,1,1,0,0,0
